[STRESS][x50] Validando estructura...
[STRESS][x50] Estructura valida.
[STRESS][x50] Secciones: 50
[STRESS][x50] Grupos: 250
[STRESS][x50] Docentes: 400
[STRESS][x50] Asignaciones: 2500
[STRESS][x50] Bloques requeridos: 8750
[STRESS][x50] Construyendo modelo CP-SAT...
[STRESS][x50] Modelo construido.
[STRESS][x50] Iniciando solver...
[STRESS][x50] Modo de tiempo: unlimited
[STRESS][x50] Workers: 8
[STRESS][x50][RUNNING] elapsed=3608s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3638s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3668s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3700s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3730s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3760s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3790s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3820s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3850s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3880s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3910s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3940s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=3970s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4000s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4030s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4060s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4090s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4120s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4151s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4181s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4211s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4241s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4271s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4301s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4331s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4361s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4391s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4421s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4451s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4481s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4511s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4541s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4571s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4601s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4631s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4661s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4691s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4721s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4752s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4782s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4812s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4842s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4872s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4902s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4932s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4962s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=4992s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5022s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5052s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5082s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5112s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5142s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5172s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5202s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5232s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5262s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5292s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5322s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5352s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5383s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5413s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5443s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5473s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5503s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5533s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5563s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5593s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5623s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5653s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5683s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5713s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5743s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5773s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5803s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=5833s | required_blocks=8750 | status=solving | solutions_found=0
